University_ID,Region,Institution_Type,Student_Scale,Faculty_Scale,Education_Budget_wan,Per100_Computers,Network_Coverage_%,IT_Budget_Ratio_%,IT_Staff_Ratio_%,Info_System_Count,Data_Governance_Score,Online_Service_Rate_%,Digital_Literacy_Score,Cybersecurity_Investment_%,System_Uptime_%,Management_Status
UNI0071,West,Vocational,34174.15,200.0,10000.0,44.75,99.16,1.32,0.81,5.0,72.39,53.89,72.41,12.07,99.3,Suboptimal
UNI0072,East,Undergraduate,22322.56,2277.51,179383.91,50.45,97.55,4.72,1.27,95.96,76.97,53.5,71.01,16.08,98.99,Optimal
UNI0073,Central,Vocational,12297.74,400.55,10000.0,41.78,97.93,0.5,0.07,47.21,70.21,68.72,58.06,6.61,98.93,Optimal
UNI0074,East,Vocational,28276.15,2159.06,152098.27,59.84,100.0,5.41,0.35,83.15,100.0,60.58,98.03,12.46,100.0,Optimal
UNI0075,West,Vocational,11846.41,2918.95,281338.54,60.57,100.0,4.02,0.85,79.02,65.66,72.07,67.25,18.08,99.43,Optimal
UNI0076,Central,Undergraduate,14936.01,1792.54,270907.9,54.94,96.34,3.47,0.73,67.48,76.19,58.24,57.25,10.54,98.34,Suboptimal
UNI0077,East,Vocational,12684.33,200.0,10000.0,29.25,96.87,0.5,0.5,39.65,62.17,39.1,39.59,11.5,97.37,Suboptimal
UNI0078,West,Undergraduate,19514.86,666.99,180725.48,64.06,97.99,1.63,0.18,62.03,72.52,25.17,73.96,4.29,98.69,Optimal
UNI0079,East,Undergraduate,17158.66,1920.2,314808.6,37.68,97.26,1.55,0.91,72.62,78.56,72.01,86.38,15.41,96.62,Optimal
UNI0080,Central,Undergraduate,9921.76,3312.95,364745.84,70.98,99.25,4.67,0.32,66.7,85.34,72.19,87.91,3.27,95.92,Optimal
UNI0081,Central,Vocational,10486.44,1398.49,96905.28,51.31,96.84,1.09,0.58,54.55,24.98,26.66,69.14,2.02,95.79,Suboptimal
UNI0082,East,Undergraduate,25011.67,3159.01,181279.2,71.23,97.6,2.33,0.69,50.4,58.39,48.62,69.57,8.93,98.88,Suboptimal
UNI0083,Central,Undergraduate,18829.06,2154.28,272694.05,50.31,99.58,5.54,1.14,56.96,67.05,89.06,67.77,15.04,97.36,Optimal
UNI0084,West,Undergraduate,23820.41,2473.94,14166.54,86.42,96.95,4.56,0.85,79.22,80.2,83.82,58.66,12.39,98.73,Optimal
UNI0085,East,Undergraduate,12343.09,2114.05,153178.3,47.68,96.24,2.93,0.41,33.48,68.32,55.46,55.69,4.18,97.37,Suboptimal
UNI0086,Central,Undergraduate,13623.96,1215.06,267696.98,53.09,96.29,3.23,0.52,34.1,54.7,73.45,64.12,7.22,97.55,Suboptimal
UNI0087,East,Vocational,22195.19,1535.8,250957.15,65.45,100.0,5.19,0.69,52.91,74.27,88.39,61.0,20.6,100.0,Optimal
UNI0088,Central,Vocational,13887.36,276.47,99689.17,40.91,99.8,2.8,0.17,56.38,56.32,88.39,53.58,11.48,100.0,Optimal
UNI0089,East,Vocational,24763.55,200.0,10000.0,56.39,99.27,0.5,0.52,24.75,42.09,72.25,67.91,7.94,98.67,Optimal
UNI0090,West,Undergraduate,27960.79,2497.06,376349.5,49.02,97.47,4.94,1.11,88.27,62.91,38.91,81.52,14.06,100.0,Optimal
UNI0091,West,Vocational,7440.73,200.0,181550.41,60.99,97.27,2.84,0.32,33.92,70.22,55.44,62.82,19.52,99.37,Suboptimal
UNI0092,East,Undergraduate,40671.12,2663.36,309989.6,77.54,98.88,5.41,0.9,123.83,66.4,43.37,64.93,12.14,97.45,Optimal
UNI0093,East,Vocational,6368.84,1716.07,127510.97,48.92,97.83,2.29,1.1,43.49,63.51,59.98,87.88,1.0,97.31,Suboptimal
UNI0094,Central,Undergraduate,19572.72,1919.07,10000.0,44.25,98.51,2.67,0.91,76.08,85.9,47.61,38.99,8.94,98.71,Optimal
UNI0095,Central,Vocational,10248.36,492.15,208386.77,27.93,94.51,3.63,0.46,32.94,69.16,33.38,74.15,7.52,97.86,Suboptimal
UNI0096,East,Vocational,4214.83,1370.51,182788.32,24.29,100.0,2.33,0.55,22.81,90.2,83.61,84.56,5.72,99.22,Optimal
UNI0097,East,Vocational,22331.59,1604.38,236531.67,64.47,99.71,1.76,0.39,91.8,70.52,75.08,83.64,4.76,99.85,Optimal
UNI0098,East,Vocational,6498.93,490.79,10000.0,53.24,97.39,2.4,0.5,20.87,77.88,62.93,83.98,15.7,97.98,Suboptimal
UNI0099,West,Undergraduate,13117.15,2862.75,306361.73,36.85,98.37,4.46,0.9,84.13,79.31,80.18,74.7,15.81,97.21,Optimal
UNI0100,Central,Vocational,18400.8,395.22,116885.37,44.88,96.18,3.38,0.88,46.05,68.11,45.92,68.33,11.44,99.4,Suboptimal
UNI0101,West,Undergraduate,16316.89,3724.89,212215.98,44.87,98.18,4.11,0.78,96.14,100.0,65.23,61.26,11.01,96.95,Optimal
UNI0102,Central,Vocational,9892.93,1431.78,152000.32,58.45,98.82,4.16,0.71,33.95,69.7,57.85,65.07,17.22,98.96,Suboptimal
UNI0103,West,Vocational,21662.43,1123.66,115182.17,48.39,97.8,2.71,0.2,60.03,46.37,69.22,68.22,5.34,99.44,Suboptimal
UNI0104,East,Undergraduate,28643.58,2780.64,270262.53,86.86,98.98,5.59,1.08,123.76,93.34,81.36,87.82,11.08,99.56,Optimal
UNI0105,East,Vocational,14879.76,3028.96,295407.99,43.21,100.0,6.21,0.68,34.96,98.72,76.08,95.7,15.48,98.5,Optimal
UNI0106,West,Undergraduate,18589.53,2071.95,161232.62,52.15,100.0,2.57,0.78,63.56,66.72,51.97,88.15,2.51,99.05,Optimal
UNI0107,West,Vocational,25569.92,840.22,47115.6,41.03,100.0,4.08,0.36,66.08,28.5,19.39,53.41,3.93,100.0,Suboptimal
UNI0108,East,Vocational,11972.55,951.75,232691.93,68.71,100.0,2.22,0.72,85.29,74.99,74.86,73.87,12.61,98.17,Optimal
UNI0109,East,Undergraduate,10341.64,1283.09,48741.3,45.95,96.15,1.76,0.76,70.84,80.52,38.51,82.1,9.47,97.04,Suboptimal
UNI0110,Central,Undergraduate,3983.55,1873.47,239925.33,75.7,95.61,4.12,0.56,49.7,75.02,80.37,63.59,17.6,98.86,Optimal
UNI0111,East,Vocational,4594.54,1717.73,179511.32,45.69,99.12,2.46,0.74,37.07,79.76,56.91,62.35,12.58,98.02,Optimal
UNI0112,East,Undergraduate,15106.92,2058.98,60449.73,69.59,99.2,3.28,0.84,83.56,20.43,38.81,56.38,4.38,97.0,Suboptimal
UNI0113,West,Vocational,3000.0,200.0,172033.98,33.07,94.21,5.01,0.76,20.81,56.63,48.6,46.92,1.08,96.82,Suboptimal
UNI0114,East,Vocational,12905.11,532.92,142472.06,64.11,98.24,4.34,0.5,37.01,63.81,56.16,59.22,12.94,99.99,Suboptimal
UNI0115,Central,Vocational,3000.0,200.0,10000.0,10.0,93.74,0.5,0.1,5.0,76.82,58.67,43.57,1.0,95.02,Suboptimal
UNI0116,East,Vocational,5012.62,1140.53,167118.24,45.22,98.54,2.02,0.77,53.73,68.84,39.03,59.91,8.25,98.41,Suboptimal
UNI0117,East,Undergraduate,9280.73,2156.49,312064.51,33.93,97.85,2.7,0.66,97.09,50.94,62.15,55.31,10.31,95.77,Suboptimal
UNI0118,Central,Vocational,19255.5,2144.62,182100.91,53.6,98.04,5.26,0.19,76.25,93.42,60.92,93.33,18.04,100.0,Optimal
UNI0119,East,Undergraduate,35597.4,2806.41,372806.15,44.81,99.74,3.47,0.68,91.09,41.17,64.97,46.73,12.76,100.0,Suboptimal
UNI0120,Central,Vocational,10645.15,1744.74,188703.38,55.77,98.27,2.43,0.79,34.89,81.0,62.01,75.85,10.41,98.89,Suboptimal
UNI0121,East,Vocational,10613.59,919.72,68633.75,53.77,97.35,3.87,0.41,56.37,46.89,57.37,74.35,7.64,98.88,Suboptimal
UNI0122,West,Vocational,3000.0,200.0,10000.0,52.74,96.8,0.5,0.61,56.48,61.3,70.5,56.98,9.42,98.67,Suboptimal
UNI0123,Central,Vocational,3286.47,1142.8,156041.67,34.18,98.77,2.4,1.0,70.06,66.99,64.63,68.74,15.1,99.3,Suboptimal
UNI0124,West,Vocational,3000.0,636.03,221534.43,10.0,95.71,2.78,0.33,43.75,66.95,61.74,52.1,8.63,97.25,Suboptimal
UNI0125,East,Vocational,31723.87,1081.93,264952.43,70.97,100.0,4.25,0.51,54.81,100.0,85.12,73.8,13.21,100.0,Optimal
UNI0126,East,Undergraduate,12563.76,2712.37,251447.12,69.76,97.94,3.56,0.87,107.0,54.09,79.49,90.28,17.17,97.46,Optimal
UNI0127,East,Vocational,5679.28,319.81,104103.85,33.48,98.19,2.23,0.16,44.33,80.36,79.23,82.18,13.25,97.58,Optimal
UNI0128,Central,Undergraduate,22666.89,1189.19,188589.29,82.99,100.0,4.15,0.98,76.15,100.0,100.0,69.26,6.77,100.0,Optimal
UNI0129,East,Undergraduate,20228.16,1184.1,10000.0,53.52,98.89,2.27,0.29,60.56,52.52,32.02,44.45,3.35,96.78,Suboptimal
UNI0130,East,Vocational,3000.0,2071.74,179356.34,16.58,97.39,4.69,0.62,24.08,46.58,66.64,61.02,10.54,98.33,Suboptimal
UNI0131,East,Vocational,29631.74,200.0,10000.0,32.37,98.4,3.39,0.81,94.59,65.3,80.11,55.37,3.38,99.31,Optimal
UNI0132,East,Undergraduate,10903.57,1706.43,365494.34,51.0,95.19,2.05,0.75,47.49,82.33,70.45,65.35,9.41,97.51,Suboptimal
UNI0133,East,Vocational,13756.41,542.39,264487.84,48.92,98.69,5.49,0.72,33.13,74.86,89.23,69.91,10.09,99.77,Suboptimal
UNI0134,East,Vocational,3000.0,200.0,10000.0,53.25,97.79,1.16,0.21,22.88,45.16,71.73,48.22,1.46,97.48,Suboptimal
UNI0135,East,Undergraduate,17742.91,1273.99,182989.57,30.13,94.48,2.78,0.86,50.45,45.23,44.76,64.85,1.0,98.56,Suboptimal
UNI0136,Central,Vocational,18853.67,200.0,239133.82,43.75,96.2,1.33,0.21,42.74,62.25,31.77,80.17,1.0,100.0,Suboptimal
UNI0137,East,Undergraduate,34725.76,2288.54,288537.02,58.21,98.13,3.9,0.78,87.09,30.33,42.16,56.23,1.0,98.92,Suboptimal
UNI0138,East,Vocational,3000.0,1273.37,21462.61,36.56,96.1,1.29,0.22,5.0,32.08,44.78,80.54,11.96,95.88,Suboptimal
UNI0139,Central,Vocational,25357.18,1888.34,408413.36,50.16,99.74,2.85,0.14,32.26,67.35,100.0,94.82,19.67,99.55,Optimal
UNI0140,West,Vocational,17066.26,1815.08,110040.46,43.23,99.08,2.83,0.43,24.16,73.64,89.79,83.14,12.38,98.77,Optimal
UNI0141,East,Undergraduate,21142.5,475.02,209716.72,45.92,96.98,2.18,0.44,73.64,80.81,52.41,69.13,1.48,98.21,Optimal
UNI0142,Central,Vocational,11285.43,1175.72,50209.22,49.37,99.38,4.74,0.56,59.75,49.59,39.58,75.09,16.52,96.62,Suboptimal
UNI0143,West,Vocational,7257.76,1079.21,10000.0,43.2,97.07,1.13,0.25,26.42,72.0,46.85,64.4,7.82,98.71,Suboptimal
UNI0144,Central,Vocational,15579.91,1936.22,100686.05,55.03,97.89,3.33,0.71,52.73,71.63,27.34,56.32,3.87,97.9,Suboptimal
UNI0145,West,Vocational,19126.12,2133.71,71228.23,31.65,97.19,2.75,0.59,12.57,56.5,58.71,39.11,12.33,99.81,Suboptimal
UNI0146,West,Undergraduate,33054.05,3002.56,264641.54,34.66,99.1,3.54,0.59,59.1,31.78,24.01,52.52,11.61,98.36,Suboptimal
UNI0147,East,Undergraduate,13186.96,2331.46,25600.56,52.19,96.8,3.99,0.43,33.59,48.17,80.74,74.52,11.25,98.37,Optimal
UNI0148,East,Vocational,3000.0,2755.23,124491.52,20.34,95.17,0.85,0.16,36.91,54.73,51.76,51.24,5.59,95.86,Suboptimal
UNI0149,Central,Undergraduate,6966.68,2745.27,213851.11,57.05,99.07,5.06,0.86,90.18,100.0,47.73,90.2,7.32,99.44,Optimal
UNI0150,West,Undergraduate,4051.88,1587.96,246203.16,39.15,97.43,1.72,0.87,44.63,57.42,58.99,86.2,2.75,96.92,Suboptimal
UNI0151,Central,Vocational,11125.63,1384.75,218575.49,41.45,99.4,2.77,0.88,56.54,54.98,61.1,65.23,20.44,98.63,Optimal
UNI0152,East,Vocational,4964.3,200.0,10000.0,29.76,99.24,0.73,0.21,50.17,56.5,46.4,72.78,3.38,100.0,Optimal
UNI0153,Central,Vocational,11281.01,1070.16,10000.0,27.9,96.23,2.63,0.95,20.9,29.48,65.45,57.26,6.4,96.78,Suboptimal
UNI0154,East,Vocational,3000.0,200.0,156387.83,37.2,97.73,1.27,0.19,15.93,45.81,45.41,50.46,6.9,96.92,Suboptimal
UNI0155,West,Vocational,18295.31,1265.07,266562.21,62.3,100.0,5.85,0.46,69.68,63.74,82.93,77.21,13.71,99.13,Optimal
UNI0156,Central,Undergraduate,18999.89,2135.51,253669.79,63.67,97.76,4.03,0.36,75.43,100.0,58.46,60.24,10.06,98.69,Optimal
UNI0157,Central,Vocational,19223.29,2222.88,301079.16,37.31,96.64,4.2,0.39,26.29,34.46,48.12,39.17,4.6,98.47,Suboptimal
UNI0158,West,Vocational,3000.0,1048.68,10000.0,44.64,96.21,0.52,0.32,11.09,88.81,33.81,40.95,11.28,96.92,Suboptimal
UNI0159,Central,Undergraduate,17768.66,465.81,50177.54,38.35,95.11,3.11,0.32,39.25,38.57,52.31,49.68,1.97,99.59,Suboptimal
UNI0160,Central,Undergraduate,16709.13,3449.41,92300.31,20.37,97.7,5.06,0.42,61.99,88.48,67.16,100.0,13.58,99.24,Suboptimal
UNI0161,West,Vocational,19421.32,392.38,10000.0,51.09,100.0,2.91,0.08,19.82,65.38,72.54,40.94,1.0,97.94,Suboptimal
UNI0162,West,Undergraduate,21236.83,1592.54,210954.33,54.73,99.41,1.05,0.19,85.95,76.36,69.3,60.55,3.99,98.83,Optimal
UNI0163,West,Undergraduate,28069.68,1505.81,442271.25,60.77,98.42,4.01,0.63,85.37,86.46,90.1,75.22,9.91,99.43,Optimal
UNI0164,East,Undergraduate,5665.25,1544.65,215854.38,64.72,99.07,3.58,0.85,35.28,73.98,58.45,54.46,12.3,96.97,Suboptimal
UNI0165,Central,Vocational,3882.15,1351.21,156186.13,24.8,97.43,1.64,0.76,31.14,68.8,85.05,68.28,8.61,97.06,Suboptimal
UNI0166,East,Undergraduate,18346.88,2096.17,184960.88,59.25,94.57,6.26,1.02,104.35,72.85,44.94,69.01,15.93,97.03,Optimal
UNI0167,West,Undergraduate,8910.64,1583.5,70749.0,52.79,95.23,2.13,0.62,53.08,56.75,58.41,66.75,11.87,97.69,Suboptimal
UNI0168,Central,Undergraduate,18156.43,3230.4,215751.8,59.94,98.4,4.93,0.81,88.46,75.27,56.76,67.94,14.66,98.23,Optimal
UNI0169,East,Vocational,16419.81,200.0,10000.0,36.66,99.58,1.41,0.16,19.3,47.17,11.23,47.09,1.66,99.73,Suboptimal
UNI0170,East,Vocational,13819.9,334.5,10000.0,47.39,97.68,2.38,0.49,37.81,66.26,47.71,69.79,12.19,99.3,Suboptimal
UNI0171,East,Undergraduate,5791.83,3366.99,441896.74,60.75,97.65,5.41,0.63,70.6,65.75,76.28,65.71,10.63,97.05,Optimal
UNI0172,Central,Vocational,13878.87,1857.91,140855.39,59.32,99.48,3.14,0.59,10.97,48.88,63.88,97.17,21.99,99.12,Optimal
UNI0173,East,Vocational,34046.38,2102.6,238013.13,85.15,98.12,4.5,1.28,59.31,63.63,70.51,78.8,13.24,100.0,Optimal
UNI0174,East,Vocational,22183.84,2108.39,251342.91,58.12,98.87,1.61,0.51,37.41,84.85,79.36,70.78,16.19,99.72,Optimal
UNI0175,West,Vocational,20688.64,422.22,18634.58,39.73,100.0,4.95,1.13,62.83,36.14,65.86,37.95,11.38,98.48,Suboptimal
UNI0176,West,Vocational,11521.42,948.15,170960.31,50.53,99.76,3.85,0.44,48.01,92.47,79.18,78.66,10.37,100.0,Optimal
UNI0177,East,Vocational,3000.0,1957.1,230052.53,33.07,98.29,2.05,0.45,22.6,59.55,67.36,43.36,15.37,98.28,Suboptimal
UNI0178,East,Vocational,10123.37,1233.26,54652.72,26.26,100.0,0.5,0.5,36.71,100.0,82.96,86.88,23.52,98.24,Optimal
UNI0179,West,Undergraduate,19621.95,2225.44,506578.6,45.08,97.35,3.94,0.52,65.62,89.18,57.65,75.03,12.62,98.41,Optimal
UNI0180,Central,Vocational,3267.8,967.78,174062.08,27.88,95.24,2.54,0.67,39.85,59.43,74.94,76.73,7.26,95.67,Suboptimal
UNI0181,Central,Vocational,3000.0,200.0,112644.05,35.79,95.38,0.5,0.58,27.84,65.95,44.87,62.29,13.99,97.63,Suboptimal
